PlayerID,Name,Age,Position,PreferredPosition,GoalsScored,Assists,MinutesPlayed,Tackles,Interceptions,PassAccuracy,DribblesCompleted,ShotsOnTarget,Height,Weight,OverallRating,PotentialRating,PhysicalStrength,Speed,TechnicalAbility
1,Player_1,37,Goalkeeper,Fullback,4,11,1055,39,37,63.26,38,2,1.99,95,66,77,50.69,94.37,57.72
2,Player_2,31,Forward,Winger,3,17,2175,3,24,82.23,31,2,1.69,97,73,85,82.09,62.86,65.52
3,Player_3,19,Defender,Center Back,21,0,551,11,39,94.65,0,33,1.7,56,87,73,68.3,68.67,93.43
4,Player_4,22,Defender,Goalkeeper,15,4,2347,79,30,69.21,37,18,2.08,63,56,70,54.38,63,73.15
5,Player_5,38,Forward,Winger,27,17,879,57,12,93.01,19,7,1.64,96,86,99,97.32,94.43,70.48
6,Player_6,23,Forward,Winger,13,17,2024,79,47,91.9,19,33,2.09,54,85,95,98.25,79,69.15
7,Player_7,35,Defender,Fullback,16,19,2349,100,12,86.06,44,42,1.63,65,74,97,85.82,61.05,65.12
8,Player_8,29,Goalkeeper,Central Midfield,20,2,747,99,48,67.32,35,68,1.85,52,67,62,81.24,75.37,54.34
9,Player_9,37,Midfielder,Striker,4,19,803,37,36,63.08,0,57,1.77,58,50,67,97.87,88.42,65.55
10,Player_10,29,Goalkeeper,Central Midfield,21,14,859,74,2,60.14,22,12,1.89,93,50,71,60.66,52.25,97.65
11,Player_11,27,Midfielder,Goalkeeper,17,19,2028,99,0,68.4,40,15,1.86,66,86,68,72.89,79.97,86.27
12,Player_12,20,Midfielder,Center Back,22,7,1516,3,10,85.71,45,18,1.63,69,84,60,60.25,84.82,68.55
13,Player_13,39,Goalkeeper,Goalkeeper,30,0,2646,62,23,86.5,3,13,2.05,55,56,69,97.5,80.58,98.34
14,Player_14,35,Forward,Winger,27,12,508,31,46,83.22,11,40,1.67,96,61,91,75.03,84.76,81.79
15,Player_15,24,Midfielder,Center Back,7,1,797,97,12,62.32,29,34,2.09,63,63,98,56.15,73.7,60.74
16,Player_16,33,Midfielder,Striker,26,12,2014,9,5,70.01,12,54,1.97,50,67,84,96.76,80.15,50.73
17,Player_17,26,Goalkeeper,Goalkeeper,3,3,2922,86,18,82.18,9,5,1.82,96,70,98,73.62,85.48,50.3
18,Player_18,22,Goalkeeper,Fullback,17,0,2914,38,11,87.75,5,0,1.99,87,91,69,84.19,86.4,89.52
19,Player_19,19,Forward,Winger,14,1,1638,94,16,61.89,40,68,1.96,53,88,94,92.51,50.78,67.38
20,Player_20,28,Midfielder,Fullback,21,16,895,50,34,88,26,48,1.71,50,65,92,89.98,72.82,75.86
21,Player_21,40,Goalkeeper,Center Back,17,11,2531,79,12,87.89,44,68,1.62,55,66,76,97.19,90.84,52.28
22,Player_22,37,Goalkeeper,Winger,17,6,2870,32,8,85.61,4,60,1.88,65,83,84,79.02,79.36,97.76
23,Player_23,37,Defender,Striker,30,20,2375,21,46,85.4,45,59,1.96,70,68,88,80.23,53.05,54.05
24,Player_24,22,Midfielder,Fullback,8,4,570,11,5,79.39,41,52,1.6,54,83,69,73.31,85.2,85.92
25,Player_25,28,Forward,Fullback,9,20,1633,57,10,68.57,22,5,1.62,85,52,91,52.51,66.19,97.05
26,Player_26,38,Defender,Fullback,25,1,646,15,6,92.39,24,21,2.07,81,50,78,73.55,86.55,88.73
27,Player_27,25,Midfielder,Winger,5,1,1647,36,44,64.95,20,0,1.88,94,53,62,64.85,79.63,84.52
28,Player_28,25,Midfielder,Striker,6,13,2296,91,19,75.55,8,67,2,86,56,72,83.57,51.85,64.28
29,Player_29,39,Defender,Fullback,18,8,608,62,22,84.24,24,26,1.76,54,53,61,55.85,61.9,56.01
30,Player_30,24,Defender,Center Back,23,18,2928,72,9,93.44,41,18,1.91,75,85,75,86.13,74.38,50.39
31,Player_31,25,Goalkeeper,Central Midfield,15,12,1992,43,7,82.69,5,58,1.91,81,68,78,58.53,50.41,66.91
32,Player_32,24,Forward,Goalkeeper,7,14,2679,46,11,88.16,19,15,2.1,74,87,90,67.68,93.01,75.9
33,Player_33,34,Midfielder,Central Midfield,19,20,1393,34,6,65.04,8,48,1.72,58,75,98,71.73,60.5,66.17
34,Player_34,25,Defender,Fullback,1,9,1814,28,12,88.87,41,19,1.64,94,60,96,68.05,67.2,50.98
35,Player_35,20,Goalkeeper,Fullback,26,20,2961,89,22,60.17,38,14,1.86,84,73,66,54.89,83.98,67.53
36,Player_36,35,Goalkeeper,Goalkeeper,23,9,1435,23,29,60.94,9,48,1.94,92,57,95,59.18,78.44,76.67
37,Player_37,40,Defender,Central Midfield,12,12,836,51,40,71.59,33,26,1.81,77,98,62,57.37,84.23,86.7
38,Player_38,19,Defender,Winger,20,18,1269,98,41,81.59,24,24,1.81,71,56,98,64.28,68.96,73.35
39,Player_39,28,Defender,Winger,8,13,1228,87,32,79.84,39,41,2.04,58,86,69,95.12,94.07,87.09
40,Player_40,31,Goalkeeper,Winger,11,9,1842,59,34,92.58,9,2,1.85,94,84,61,81.37,55.85,68.8
41,Player_41,37,Forward,Goalkeeper,8,7,2576,7,26,62.68,13,69,1.7,81,55,61,97.35,91.46,85.15
42,Player_42,35,Defender,Center Back,17,5,2606,78,18,60.08,10,29,2.07,58,63,93,75.2,57.18,79.46
43,Player_43,19,Goalkeeper,Central Midfield,11,15,2141,26,39,74.95,25,39,2.03,59,74,64,58.31,51.51,85.29
44,Player_44,21,Defender,Winger,21,15,1604,9,23,93.08,29,46,1.9,54,73,73,96.71,64.44,53
45,Player_45,28,Goalkeeper,Goalkeeper,29,10,616,30,31,88.67,13,3,1.88,66,81,97,93.32,76.08,60.25
46,Player_46,31,Defender,Winger,14,3,1352,28,22,86.24,37,56,1.63,55,86,76,70.93,81.06,53.49
47,Player_47,39,Forward,Winger,25,12,1961,80,11,80.04,24,46,1.76,92,57,79,82.62,93.54,68.77
48,Player_48,32,Forward,Goalkeeper,0,1,2201,74,28,83.73,40,15,2.06,75,92,93,95.63,65.99,93.73
49,Player_49,18,Forward,Fullback,17,17,2226,6,47,94.33,14,25,1.79,57,69,87,79.79,60.66,95.05
50,Player_50,30,Forward,Winger,8,14,1850,73,36,72.35,23,8,1.95,86,78,70,71.42,50.13,73.4
51,Player_51,36,Midfielder,Center Back,26,8,1026,60,0,91.61,50,12,2.02,59,73,99,91.31,50.12,88.86
52,Player_52,21,Goalkeeper,Fullback,14,15,1501,83,14,86.38,36,37,1.91,95,68,98,50.8,63.5,58.51
53,Player_53,25,Goalkeeper,Goalkeeper,24,9,2883,9,23,66.39,26,27,1.92,87,68,95,74.95,56.94,97.92
54,Player_54,40,Defender,Center Back,19,11,1610,95,32,91.37,34,29,1.64,77,83,99,94.62,66.21,91.12
55,Player_55,18,Goalkeeper,Central Midfield,18,18,1584,0,9,75.78,0,31,2.06,79,50,87,64.83,95.45,95.17
56,Player_56,38,Goalkeeper,Goalkeeper,26,9,2038,94,45,87.6,16,43,2.08,97,91,91,69.49,75.44,69.09
57,Player_57,37,Goalkeeper,Winger,19,14,2117,53,16,64.48,22,10,1.96,94,51,95,81.89,65.3,68.45
58,Player_58,24,Goalkeeper,Winger,17,5,1854,26,42,62.46,6,24,1.93,64,87,94,65.66,51.33,74.98
59,Player_59,28,Defender,Fullback,24,17,1198,9,16,87.38,27,15,1.67,78,67,63,73.46,97.72,98.09
60,Player_60,20,Goalkeeper,Fullback,7,3,2210,66,41,75.52,14,24,1.73,98,91,80,94.56,55.08,97.44
61,Player_61,21,Defender,Center Back,7,11,1450,69,42,72.14,50,50,1.62,97,62,77,73.88,59.04,63.53
62,Player_62,32,Goalkeeper,Winger,14,7,1299,96,1,72.98,10,26,1.71,98,75,81,58.83,70.37,65.73
63,Player_63,35,Midfielder,Winger,24,6,2438,78,30,77.23,5,69,2.08,81,79,95,91.5,98.95,84.47
64,Player_64,26,Defender,Goalkeeper,23,9,862,73,46,65.75,23,35,1.88,80,92,65,81.09,73.8,73.75
65,Player_65,32,Midfielder,Striker,21,13,1231,54,6,94.23,25,28,1.62,71,86,99,56.96,83.35,73.93
66,Player_66,30,Midfielder,Goalkeeper,4,20,1758,77,28,81.47,14,18,1.62,89,64,87,66.51,75.39,91.95
67,Player_67,28,Forward,Winger,24,1,1748,81,10,67.3,2,49,1.64,96,65,76,95.74,70.69,76.17
68,Player_68,29,Forward,Fullback,1,17,2904,41,12,72.2,16,0,1.73,51,50,88,71.3,65.42,54.88
69,Player_69,22,Forward,Center Back,13,17,1599,67,40,82.84,28,25,1.83,94,86,92,52.26,86.46,81.22
70,Player_70,22,Goalkeeper,Goalkeeper,24,2,1855,63,43,68.63,28,51,2.05,59,51,85,74.01,60.62,63.72
71,Player_71,36,Midfielder,Fullback,10,17,1428,67,29,88.42,46,47,1.84,78,97,84,52.9,74.62,60.48
72,Player_72,37,Forward,Winger,20,3,1085,65,49,82.25,24,23,1.78,50,72,87,89.8,86.05,58.69
73,Player_73,38,Forward,Center Back,6,12,759,43,25,71.5,6,7,1.94,68,59,63,79.18,90.06,94.05
74,Player_74,20,Forward,Fullback,0,9,2402,74,48,77.73,6,62,1.92,68,90,77,91.14,71.15,82.21
75,Player_75,31,Defender,Striker,22,7,2539,37,43,65.96,44,29,1.78,92,83,88,94.5,87.04,73.23
76,Player_76,40,Defender,Center Back,7,4,503,63,50,81.54,17,42,2.08,96,69,96,61.46,79.99,67.53
77,Player_77,25,Midfielder,Central Midfield,25,1,2837,22,50,72.2,45,64,1.63,92,80,88,63,62.2,94.68
78,Player_78,28,Defender,Center Back,25,10,1863,44,49,83.49,24,55,1.61,73,94,68,84.07,97.49,98.67
79,Player_79,24,Forward,Central Midfield,30,12,1793,31,8,68.29,5,16,1.88,72,52,85,53.38,76.51,55.96
80,Player_80,24,Defender,Central Midfield,27,0,2093,49,17,70.58,0,11,1.85,83,53,74,52.09,93.32,54.62
81,Player_81,19,Forward,Fullback,6,10,2977,13,36,84.13,21,61,1.71,65,64,78,72.92,61.69,88.73
82,Player_82,36,Defender,Striker,19,9,1577,65,42,82.96,19,9,1.67,87,80,83,54.62,82.83,93.06
83,Player_83,25,Forward,Winger,15,16,886,91,22,64.5,8,12,1.99,81,72,79,81.23,84.37,54.73
84,Player_84,35,Goalkeeper,Winger,2,4,702,57,26,93.87,30,30,2.02,74,98,94,94.62,55.88,81.33
85,Player_85,40,Midfielder,Center Back,27,15,1051,95,9,83.92,14,34,1.9,99,86,81,91.91,87.62,53.75
